Ra, Dec
292.87616,48.195309
295.52521,46.459431
290.12231,43.08556
291.23114,50.56702
299.07813,44.293789000000004
287.28531,51.249981
291.0838,40.355251
296.33319,40.896259
299.14142000000004,40.725899
288.53867,40.61615
288.53867,40.61615
297.58313,41.952431
297.58313,41.952431
298.39575,42.459751000000004
284.87997,49.266991
290.41199,44.89933
291.74838,39.44688
291.65009,42.700779
300.9296,44.02879
291.41832999999997,42.579819
294.36672999999996,42.252682
288.01486,46.348949
282.36349,46.67524
289.42458999999997,50.994122
295.40252999999996,50.478629999999995
294.52713,43.368159999999996
295.26349,46.148022
288.53867,40.61615
288.53867,40.61615
297.50385,40.342971999999996
283.12964,43.888241
284.96304,43.91301
290.25964,45.388409
290.59207000000004,45.737140999999994
290.98331,45.973301
299.05127000000005,47.94928
297.90045,48.0947
286.0528,50.256592
296.66086,43.816441
299.60202000000004,43.695995
296.0882,47.142891
282.62967000000003,46.32336
295.08423,50.114609
295.41745,43.60564
286.88751,50.377071
291.64676000000003,41.884659
296.98852999999997,46.596882
295.6713,40.599059999999994
297.82944,40.706779
288.73407000000003,46.939388
296.84616,40.138611
296.84616,40.138611
298.20071,48.267841
298.11478,48.4944
297.38153,48.565041
298.46578999999997,48.55941
284.64886,41.015018
298.60787999999997,46.453678000000004
298.14052999999996,40.073871999999994
282.96616,48.34507
299.95721000000003,44.771889
289.32101,46.134319
283.13547,43.657051
283.13547,43.657051
296.4032,51.271339000000005
294.95685,43.014332
297.91687,46.96513
297.91687,46.96513
297.91687,46.96513
296.99191,40.758911
297.79514,40.417709
298.29495,48.775459000000005
298.29495,48.775459000000005
298.29495,48.775459000000005
284.13263,48.825119
284.13287,49.142609
295.43436,42.166321
294.94388,39.032059000000004
294.94388,39.032059000000004
294.14682,39.12706
298.13391,40.530289
297.3013,43.141890999999994
283.47818,43.383781
289.85913,46.522671
285.2962,46.603439
298.17722000000003,42.237041
297.79514,40.417709
292.85573999999997,46.391178000000004
297.79514,40.417709
289.29065,51.40889
294.73419,40.86142
294.83032000000003,46.734348
284.29694,49.15868
284.61621,49.190811
283.79654,49.50399
284.73145,49.533192
293.62592,39.50631
289.43462999999997,49.4734
298.48282,46.793621
298.48282,46.793621
287.60559,49.523258
287.60559,49.523258
295.80658,50.909801
298.73007,46.688671
288.92575,39.90155
281.97125,43.672771000000004
288.99258,46.67075
293.66507,40.359531
282.43917999999996,43.734482
282.43917999999996,43.734482
290.12857,40.021832
290.58685,51.69582
286.58539,46.87093
295.28722999999997,41.221958
290.49316,39.785519
290.24102999999997,39.96801
290.73804,39.919651
296.57153,50.677849
287.14313,46.50806
291.28659,43.404410999999996
287.80457,46.238929999999996
291.02301,50.262226
296.6713,43.49839
294.6499,43.33559
287.03952000000004,46.640128999999995
287.03952000000004,46.640128999999995
286.43365,50.300331
296.04764,43.762138
297.48257,40.680779
296.17728,46.99902
281.61887,46.814201000000004
291.15295,40.887489
294.17107999999996,40.055168
294.17107999999996,40.055168
290.66852,40.39772
290.10654,40.490662
291.33718999999996,40.558201000000004
288.25864,43.376465
296.91724,43.517528999999996
286.14938,49.867512
284.84988,46.13895
297.17429,43.479099
292.03148999999996,49.388618
292.58444,49.923161
288.66156,49.737209
286.27176000000003,43.59523
290.09082,39.816990000000004
298.25203999999997,40.496078000000004
298.25203999999997,40.496078000000004
298.25203999999997,40.496078000000004
298.25203999999997,40.496078000000004
298.25203999999997,40.496078000000004
289.67935,40.700459
295.28722999999997,41.221958
289.67935,40.700459
290.92316,40.771029999999996
291.285,40.730049
289.38351,41.392689000000004
298.82254,46.650269
293.26093,44.868889
296.07822000000004,43.13694
297.35233,46.09594
288.76318,50.174221
290.09082,39.816990000000004
295.52121,49.738628000000006
291.46732000000003,50.759479999999996
281.46173,46.789894
296.62979,46.880203
284.664,43.98502
294.36487,40.720879
296.18523999999996,39.262679999999996
294.36487,40.720879
294.36487,40.720879
297.73984,46.94191
293.53448,41.329899
